"","LOC","RefSeq","Description","RefSeq_short"
"4687","LOC105665683","XM_012308156.1","PREDICTED: Bombus terrestris transmembrane and ubiquitin-like domain-containing protein 1 (LOC105665683) transcript variant X2","XM_012308156"
"4688","LOC105665683","XM_012308155.1","PREDICTED: Bombus terrestris transmembrane and ubiquitin-like domain-containing protein 1 (LOC105665683) transcript variant X1","XM_012308155"
"4689","LOC100645986","XM_012308157.1","PREDICTED: Bombus terrestris isoleucine--tRNA ligase","XM_012308157"
"4690","LOC100645870","XM_003395065.2","PREDICTED: Bombus terrestris ADAM 17-like protease (LOC100645870)","XM_003395065"
"4691","LOC100646105","XM_012308158.1","PREDICTED: Bombus terrestris cysteine and histidine-rich domain-containing protein (LOC100646105) transcript variant X2","XM_012308158"
"4692","LOC100646105","XM_003395066.2","PREDICTED: Bombus terrestris cysteine and histidine-rich domain-containing protein (LOC100646105) transcript variant X1","XM_003395066"
"4693","LOC100646222","XR_001098675.1","PREDICTED: Bombus terrestris ovarian cancer-associated gene 2 protein homolog (LOC100646222) transcript variant X1","XR_001098675"
"4694","LOC100646222","XR_001098677.1","PREDICTED: Bombus terrestris ovarian cancer-associated gene 2 protein homolog (LOC100646222) transcript variant X3","XR_001098677"
"4695","LOC100646222","XR_001098676.1","PREDICTED: Bombus terrestris ovarian cancer-associated gene 2 protein homolog (LOC100646222) transcript variant X2","XR_001098676"
"4696","LOC100646222","XR_001098678.1","PREDICTED: Bombus terrestris ovarian cancer-associated gene 2 protein homolog (LOC100646222) transcript variant X4","XR_001098678"
"4697","LOC100646222","XM_003395067.2","PREDICTED: Bombus terrestris ovarian cancer-associated gene 2 protein homolog (LOC100646222) transcript variant X5","XM_003395067"
"4698","LOC100646464","XM_003395068.2","PREDICTED: Bombus terrestris transcription elongation factor B polypeptide 2 (LOC100646464)","XM_003395068"
"4699","LOC100646584","XM_003395069.2","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X2","XM_003395069"
"4700","LOC100646584","XM_012308167.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X9","XM_012308167"
"4701","LOC100646584","XM_012308162.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X6","XM_012308162"
"4702","LOC100646584","XM_012308160.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X3","XM_012308160"
"4703","LOC100646584","XM_012308163.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X7","XM_012308163"
"4704","LOC100646584","XM_012308161.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X5","XM_012308161"
"4705","LOC100646584","XM_012308164.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X8","XM_012308164"
"4706","LOC100646584","XM_003395070.2","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X4","XM_003395070"
"4707","LOC100646584","XM_012308159.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X1","XM_012308159"
"4708","LOC105665684","XR_001098681.1","PREDICTED: Bombus terrestris uncharacterized LOC105665684 (LOC105665684) transcript variant X3","XR_001098681"
"4709","LOC105665684","XR_001098680.1","PREDICTED: Bombus terrestris uncharacterized LOC105665684 (LOC105665684) transcript variant X2","XR_001098680"
"4710","LOC105665684","XR_001098679.1","PREDICTED: Bombus terrestris uncharacterized LOC105665684 (LOC105665684) transcript variant X1","XR_001098679"
"4711","LOC100646584","XM_012308168.1","PREDICTED: Bombus terrestris phosphatidylcholine:ceramide cholinephosphotransferase 2-like (LOC100646584) transcript variant X10","XM_012308168"
"4712","LOC105665708","XM_012308336.1","PREDICTED: Bombus terrestris uncharacterized LOC105665708 (LOC105665708)","XM_012308336"
"4713","LOC100643645","XM_012308169.1","PREDICTED: Bombus terrestris uncharacterized LOC100643645 (LOC100643645)","XM_012308169"
"4714","LOC105665709","XM_012308337.1","PREDICTED: Bombus terrestris uncharacterized protein DDB_G0271670-like (LOC105665709)","XM_012308337"
"4715","LOC100646777","XM_012308170.1","PREDICTED: Bombus terrestris transient receptor potential channel pyrexia-like (LOC100646777) partial ","XM_012308170"
"4716","LOC100646899","XM_003395072.2","PREDICTED: Bombus terrestris cysteine-rich protein 1-like (LOC100646899)","XM_003395072"
"4717","LOC105665685","XR_001098682.1","PREDICTED: Bombus terrestris uncharacterized LOC105665685 (LOC105665685) ncRNA","XR_001098682"
"4718","LOC100647018","XM_003395073.2","PREDICTED: Bombus terrestris paired box protein Pax-8 (LOC100647018) transcript variant X2","XM_003395073"
"4719","LOC100647018","XM_012308172.1","PREDICTED: Bombus terrestris paired box protein Pax-8 (LOC100647018) transcript variant X1","XM_012308172"
"4720","LOC100647018","XM_012308173.1","PREDICTED: Bombus terrestris paired box protein Pax-8 (LOC100647018) transcript variant X3","XM_012308173"
"4721","LOC105665711","XM_012308338.1","PREDICTED: Bombus terrestris uncharacterized LOC105665711 (LOC105665711)","XM_012308338"
"4722","LOC100647257","XM_003395075.2","PREDICTED: Bombus terrestris maternal embryonic leucine zipper kinase-like (LOC100647257)","XM_003395075"
"4723","LOC100647376","XM_012308183.1","PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase cyp11 (LOC100647376) transcript variant X1","XM_012308183"
"4724","LOC100647376","XM_003395077.2","PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase cyp11 (LOC100647376) transcript variant X2","XM_003395077"
"4725","LOC100647376","XM_003395076.2","PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase cyp11 (LOC100647376) transcript variant X3","XM_003395076"
"4726","LOC100647376","XM_012308184.1","PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase cyp11 (LOC100647376) transcript variant X4","XM_012308184"
"4727","LOC100647571","XM_012308175.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X2","XM_012308175"
"4728","LOC100647571","XM_012308182.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X8","XM_012308182"
"4729","LOC100647571","XM_012308178.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X5","XM_012308178"
"4730","LOC100647571","XM_012308177.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X4","XM_012308177"
"4731","LOC100647571","XM_012308176.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X3","XM_012308176"
"4732","LOC100647571","XM_012308174.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X1","XM_012308174"
"4733","LOC100647571","XM_012308181.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X7","XM_012308181"
"4734","LOC100647571","XM_012308180.1","PREDICTED: Bombus terrestris motile sperm domain-containing protein 1-like (LOC100647571) transcript variant X6","XM_012308180"
"4735","LOC100647769","XM_012308189.1","PREDICTED: Bombus terrestris eukaryotic translation initiation factor 4E type 2 (LOC100647769) transcript variant X4","XM_012308189"
"4736","LOC100647769","XM_012308188.1","PREDICTED: Bombus terrestris eukaryotic translation initiation factor 4E type 2 (LOC100647769) transcript variant X3","XM_012308188"
"4737","LOC100647769","XM_003395080.2","PREDICTED: Bombus terrestris eukaryotic translation initiation factor 4E type 2 (LOC100647769) transcript variant X1","XM_003395080"
"4738","LOC100647769","XM_012308187.1","PREDICTED: Bombus terrestris eukaryotic translation initiation factor 4E type 2 (LOC100647769) transcript variant X2","XM_012308187"
"4739","LOC100648015","XM_003395082.2","PREDICTED: Bombus terrestris uncharacterized LOC100648015 (LOC100648015) transcript variant X1","XM_003395082"
"4740","LOC100648015","XM_012308185.1","PREDICTED: Bombus terrestris uncharacterized LOC100648015 (LOC100648015) transcript variant X2","XM_012308185"
"4741","LOC100647140","XM_012308190.1","PREDICTED: Bombus terrestris uncharacterized LOC100647140 (LOC100647140) transcript variant X2","XM_012308190"
"4742","LOC100647140","XM_003395074.2","PREDICTED: Bombus terrestris uncharacterized LOC100647140 (LOC100647140) transcript variant X1","XM_003395074"
"4743","LOC100647894","XM_003395081.2","PREDICTED: Bombus terrestris 60S ribosomal protein L7 (LOC100647894)","XM_003395081"
"4744","LOC100648128","XM_012308191.1","PREDICTED: Bombus terrestris uncharacterized LOC100648128 (LOC100648128)","XM_012308191"
"4745","LOC100648242","XM_003395083.2","PREDICTED: Bombus terrestris kynurenine 3-monooxygenase (LOC100648242)","XM_003395083"
"4746","LOC100648473","XM_003395210.2","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X1","XM_003395210"
"4747","LOC100648473","XM_012308193.1","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X2","XM_012308193"
"4748","LOC100648473","XM_012308195.1","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X6","XM_012308195"
"4749","LOC100648473","XM_003395085.2","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X3","XM_003395085"
"4750","LOC100648473","XM_012308194.1","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X4","XM_012308194"
"4751","LOC100648473","XM_003395086.2","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648473) transcript variant X5","XM_003395086"
"4752","LOC100648706","XM_003395087.2","PREDICTED: Bombus terrestris 2-acylglycerol O-acyltransferase 1-like (LOC100648706)","XM_003395087"
"4753","LOC100648973","XM_003395089.2","PREDICTED: Bombus terrestris protein GDAP2 homolog (LOC100648973) transcript variant X1","XM_003395089"
"4754","LOC100648973","XM_012308197.1","PREDICTED: Bombus terrestris protein GDAP2 homolog (LOC100648973) transcript variant X2","XM_012308197"
"4755","LOC100648973","XM_012308198.1","PREDICTED: Bombus terrestris protein GDAP2 homolog (LOC100648973) transcript variant X3","XM_012308198"
"4756","LOC100649087","XM_012308340.1","PREDICTED: Bombus terrestris uncharacterized LOC100649087 (LOC100649087)","XM_012308340"
"4757","LOC100649207","XM_012308200.1","PREDICTED: Bombus terrestris flagellar attachment zone protein 1 (LOC100649207)","XM_012308200"
"4758","LOC100649327","XM_012308199.1","PREDICTED: Bombus terrestris transcriptional activator cubitus interruptus (LOC100649327)","XM_012308199"
"4759","LOC100644011","XM_012308201.1","PREDICTED: Bombus terrestris uncharacterized LOC100644011 (LOC100644011)","XM_012308201"
"4760","LOC105665712","XM_012308341.1","PREDICTED: Bombus terrestris mucin-3A (LOC105665712)","XM_012308341"
"4761","LOC100649571","XR_001098683.1","PREDICTED: Bombus terrestris uncharacterized LOC100649571 (LOC100649571) ncRNA","XR_001098683"
"4762","LOC100649688","XM_012308203.1","PREDICTED: Bombus terrestris translation machinery-associated protein 16 (LOC100649688)","XM_012308203"
"4763","LOC100644126","XM_012308342.1","PREDICTED: Bombus terrestris uncharacterized LOC100644126 (LOC100644126)","XM_012308342"
"4764","LOC100644249","XM_003395213.2","PREDICTED: Bombus terrestris uncharacterized LOC100644249 (LOC100644249)","XM_003395213"
"4765","npve","NM_001280889.1","Bombus terrestris acyl-CoA delta-9 desaturase (npve)","NM_001280889"
"4766","LOC100650033","XM_012307794.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650033) transcript variant X1","XM_012307794"
"4767","LOC100650033","NM_001286444.1","Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650033)","NM_001286444"
"4768","LOC100649922","XM_012307793.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X14","XM_012307793"
"4769","LOC100649922","XM_012307790.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X12","XM_012307790"
"4770","LOC100649922","XM_012307788.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X10","XM_012307788"
"4771","LOC100649922","XM_012307787.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X9","XM_012307787"
"4772","LOC100649922","XM_012307789.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X11","XM_012307789"
"4773","LOC100649922","XM_012307786.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X8","XM_012307786"
"4774","LOC100649922","XM_012307785.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X7","XM_012307785"
"4775","LOC100649922","XM_012307781.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X3","XM_012307781"
"4776","LOC100649922","XM_012307779.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X1","XM_012307779"
"4777","LOC100649922","XM_012307783.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X5","XM_012307783"
"4778","LOC100649922","XM_012307780.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X2","XM_012307780"
"4779","LOC100649922","XM_012307782.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X4","XM_012307782"
"4780","LOC100649922","XM_012307784.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X6","XM_012307784"
"4781","LOC100649922","XM_012307792.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922) transcript variant X13","XM_012307792"
"4782","LOC100649922","NM_001287563.1","Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922)","NM_001287563"
"4783","LOC100650274","XM_012307797.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650274) transcript variant X3","XM_012307797"
"4784","LOC100650274","XM_012307796.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650274) transcript variant X2","XM_012307796"
"4785","LOC100650274","XM_012307795.1","PREDICTED: Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650274) transcript variant X1","XM_012307795"
"4786","LOC100650274","NM_001285398.1","Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650274)","NM_001285398"
"4787","LOC100650479","XM_012308204.1","PREDICTED: Bombus terrestris glutamyl aminopeptidase-like (LOC100650479)","XM_012308204"
"4788","LOC100650597","XM_012308205.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X1","XM_012308205"
"4789","LOC100650597","XM_012308206.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X2","XM_012308206"
"4790","LOC100650597","XM_012308208.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X4","XM_012308208"
"4791","LOC100650597","XM_012308207.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X3","XM_012308207"
"4792","LOC100650597","XM_003395101.2","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X7","XM_003395101"
"4793","LOC100650597","XM_012308209.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X5","XM_012308209"
"4794","LOC100650597","XM_012308210.1","PREDICTED: Bombus terrestris neuromedin-U receptor 2-like (LOC100650597) transcript variant X6","XM_012308210"
"4795","LOC100650722","XM_003395102.2","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100650722)","XM_003395102"
"4796","LOC105665686","XR_001098684.1","PREDICTED: Bombus terrestris uncharacterized LOC105665686 (LOC105665686) ncRNA","XR_001098684"
"4797","LOC100651035","XM_012308211.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651035)","XM_012308211"
"4798","LOC100651245","XM_012308215.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651245) transcript variant X2","XM_012308215"
"4799","LOC100651245","XM_012308217.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651245) transcript variant X4","XM_012308217"
"4800","LOC100651245","XM_012308216.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651245) transcript variant X3","XM_012308216"
"4801","LOC100651245","XM_012308214.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651245) transcript variant X1","XM_012308214"
"4802","LOC100651245","XM_012308218.1","PREDICTED: Bombus terrestris glutathione S-transferase-like (LOC100651245) transcript variant X5","XM_012308218"
"4803","LOC100651365","XM_012308213.1","PREDICTED: Bombus terrestris organic cation transporter protein-like (LOC100651365) transcript variant X2","XM_012308213"
"4804","LOC100651365","XM_012308212.1","PREDICTED: Bombus terrestris organic cation transporter protein-like (LOC100651365) transcript variant X1","XM_012308212"
"4805","LOC100651482","XM_012308219.1","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X1","XM_012308219"
"4806","LOC100651482","XM_012308222.1","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X5","XM_012308222"
"4807","LOC100651482","XM_012308223.1","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X6","XM_012308223"
"4808","LOC100651482","XM_003395109.2","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X4","XM_003395109"
"4809","LOC100651482","XM_012308220.1","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X2","XM_012308220"
"4810","LOC100651482","XM_012308221.1","PREDICTED: Bombus terrestris solute carrier family 22 member 3-like (LOC100651482) transcript variant X3","XM_012308221"
"4811","LOC100651796","XM_012308224.1","PREDICTED: Bombus terrestris organic cation transporter protein-like (LOC100651796)","XM_012308224"
"4812","LOC100651676","XM_012308225.1","PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF38 (LOC100651676) transcript variant X2","XM_012308225"
"4813","LOC100651676","XM_012308227.1","PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF38 (LOC100651676) transcript variant X4","XM_012308227"
"4814","LOC100651676","XM_003395110.2","PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF38 (LOC100651676) transcript variant X1","XM_003395110"
"4815","LOC100651676","XM_012308226.1","PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF38 (LOC100651676) transcript variant X3","XM_012308226"
"4816","LOC100652037","XM_003395112.2","PREDICTED: Bombus terrestris succinyl-CoA ligase [ADP/GDP-forming subunit alpha","XM_003395112"
"4817","LOC100642563","XM_003395118.2","PREDICTED: Bombus terrestris UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC100642563)","XM_003395118"
"4818","LOC100652229","XM_003395114.2"," PREDICTED: Bombus terrestris RNA 3-terminal phosphate cyclase-like protein (LOC100652229) ","XM_003395114"
"4819","LOC100642445","XM_003395117.2","PREDICTED: Bombus terrestris tRNA-specific adenosine deaminase 1 (LOC100642445)","XM_003395117"
"4820","LOC100642201","XM_003395115.2","PREDICTED: Bombus terrestris glycerol 2-dehydrogenase (NADP(+))-like (LOC100642201)","XM_003395115"
"4821","LOC100642323","XM_003395116.2","PREDICTED: Bombus terrestris trafficking protein particle complex subunit 12 (LOC100642323)","XM_003395116"
"4822","LOC100642685","XM_012308228.1","PREDICTED: Bombus terrestris zinc finger protein 1 (LOC100642685)","XM_012308228"
"4823","LOC105665688","XR_001098686.1","PREDICTED: Bombus terrestris uncharacterized LOC105665688 (LOC105665688) ncRNA","XR_001098686"
"4824","LOC100642876","XM_003395120.2","PREDICTED: Bombus terrestris importin subunit alpha-7 (LOC100642876)","XM_003395120"
"4825","LOC100644364","XM_012308239.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X8","XM_012308239"
"4826","LOC100644364","XM_012308236.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X5","XM_012308236"
"4827","LOC100644364","XM_012308233.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X2","XM_012308233"
"4828","LOC100644364","XM_012308238.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X7","XM_012308238"
"4829","LOC100644364","XM_003395214.2","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X1","XM_003395214"
"4830","LOC100644364","XM_012308241.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X10","XM_012308241"
"4831","LOC100644364","XM_012308240.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X9","XM_012308240"
"4832","LOC100644364","XM_012308234.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X3","XM_012308234"
"4833","LOC100644364","XM_012308235.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X4","XM_012308235"
"4834","LOC100644364","XM_012308237.1","PREDICTED: Bombus terrestris uncharacterized LOC100644364 (LOC100644364) transcript variant X6","XM_012308237"
"4835","LOC100642994","XM_003395121.2","PREDICTED: Bombus terrestris palmitoyltransferase ZDHHC6 (LOC100642994)","XM_003395121"
"4836","LOC100643319","XM_003395124.2","PREDICTED: Bombus terrestris putative defense protein 3 (LOC100643319)","XM_003395124"
"4837","LOC100643927","XM_012308229.1","PREDICTED: Bombus terrestris uncharacterized LOC100643927 (LOC100643927) transcript variant X1","XM_012308229"
"4838","LOC100643927","XM_012308231.1","PREDICTED: Bombus terrestris uncharacterized LOC100643927 (LOC100643927) transcript variant X3","XM_012308231"
"4839","LOC100643927","XM_012308230.1","PREDICTED: Bombus terrestris uncharacterized LOC100643927 (LOC100643927) transcript variant X2","XM_012308230"
"4840","LOC100643927","XR_001098687.1","PREDICTED: Bombus terrestris uncharacterized LOC100643927 (LOC100643927) transcript variant X5","XR_001098687"
"4841","LOC100643927","XM_012308232.1","PREDICTED: Bombus terrestris uncharacterized LOC100643927 (LOC100643927) transcript variant X4","XM_012308232"
"4842","LOC100643688","XM_012308243.1","PREDICTED: Bombus terrestris zinc finger protein 830 (LOC100643688)","XM_012308243"
"4843","LOC100643800","XM_003395128.2"," PREDICTED: Bombus terrestris guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1 (LOC100643800) ","XM_003395128"
"4844","LOC100643567","XM_003395126.2","PREDICTED: Bombus terrestris probable phosphoserine aminotransferase (LOC100643567) transcript variant X1","XM_003395126"
"4845","LOC100643567","XM_012308242.1","PREDICTED: Bombus terrestris probable phosphoserine aminotransferase (LOC100643567) transcript variant X2","XM_012308242"
"4846","LOC100644482","XM_012308244.1","PREDICTED: Bombus terrestris DNA-dependent protein kinase catalytic subunit-like (LOC100644482)","XM_012308244"
"4847","LOC100643443","XM_003395125.2","PREDICTED: Bombus terrestris cell division cycle 5-like protein (LOC100643443)","XM_003395125"
"4848","LOC100644053","XM_003395130.2","PREDICTED: Bombus terrestris exocyst complex component 3 (LOC100644053)","XM_003395130"
"4849","LOC100644167","XM_012308245.1","PREDICTED: Bombus terrestris probable enoyl-CoA hydratase","XM_012308245"
"4850","LOC105665713","XM_012308343.1","PREDICTED: Bombus terrestris uncharacterized LOC105665713 (LOC105665713)","XM_012308343"
"4851","LOC100644717","XM_003395217.2","PREDICTED: Bombus terrestris protein FAM46C (LOC100644717)","XM_003395217"
"4852","LOC100644396","XM_012308246.1","PREDICTED: Bombus terrestris 2-oxoisovalerate dehydrogenase subunit beta","XM_012308246"
"4853","LOC100644396","XM_012308249.1","PREDICTED: Bombus terrestris 2-oxoisovalerate dehydrogenase subunit beta","XM_012308249"
"4854","LOC100644396","XM_012308247.1","PREDICTED: Bombus terrestris 2-oxoisovalerate dehydrogenase subunit beta","XM_012308247"
"4855","LOC100644396","XM_012308248.1","PREDICTED: Bombus terrestris 2-oxoisovalerate dehydrogenase subunit beta","XM_012308248"
"4856","LOC100644843","XM_003395218.2","PREDICTED: Bombus terrestris centrosomal protein of 290 kDa-like (LOC100644843)","XM_003395218"
"4857","LOC100644960","XM_012308344.1","PREDICTED: Bombus terrestris eclosion hormone (LOC100644960)","XM_012308344"
"4858","LOC105665714","XM_012308346.1","PREDICTED: Bombus terrestris putative uncharacterized protein DDB_G0282133 (LOC105665714)","XM_012308346"
"4859","LOC100644635","XM_012308250.1","PREDICTED: Bombus terrestris chorion peroxidase (LOC100644635)","XM_012308250"
"4860","LOC100644755","XM_003395136.2","PREDICTED: Bombus terrestris uncharacterized LOC100644755 (LOC100644755)","XM_003395136"
"4861","LOC105665715","XM_012308347.1","PREDICTED: Bombus terrestris uncharacterized LOC105665715 (LOC105665715)","XM_012308347"
"4862","LOC105665716","XM_012308348.1","PREDICTED: Bombus terrestris uncharacterized LOC105665716 (LOC105665716)","XM_012308348"
"4863","LOC100644882","XM_012308251.1","PREDICTED: Bombus terrestris zinc finger MIZ domain-containing protein 1 (LOC100644882)","XM_012308251"
"4864","LOC100645000","XM_003395138.2","PREDICTED: Bombus terrestris caspase-1-like (LOC100645000)","XM_003395138"
"4865","LOC100645118","XM_003395139.2","PREDICTED: Bombus terrestris ADP-ribosylation factor-like protein 13B (LOC100645118)","XM_003395139"
"4866","LOC100645240","XM_003395140.2","PREDICTED: Bombus terrestris pyrroline-5-carboxylate reductase 2 (LOC100645240)","XM_003395140"
"4867","LOC100645368","XM_003395141.2","PREDICTED: Bombus terrestris pre--splicing factor 18 (LOC100645368) transcript variant X1","XM_003395141"
"4868","LOC100645368","XM_012308254.1","PREDICTED: Bombus terrestris pre--splicing factor 18 (LOC100645368) transcript variant X2","XM_012308254"
"4869","LOC100645484","XM_003395142.2","PREDICTED: Bombus terrestris kinetochore-associated protein 1 (LOC100645484)","XM_003395142"
"4870","LOC105665689","XM_012308252.1","PREDICTED: Bombus terrestris uncharacterized protein C6orf203 homolog (LOC105665689)","XM_012308252"
"4871","LOC100645590","XM_003395143.2","PREDICTED: Bombus terrestris ras-related C3 botulinum toxin substrate 1 (LOC100645590) transcript variant X1","XM_003395143"
"4872","LOC100645590","XM_012308255.1","PREDICTED: Bombus terrestris ras-related C3 botulinum toxin substrate 1 (LOC100645590) transcript variant X2","XM_012308255"
"4873","LOC100645709","XM_003395144.2","PREDICTED: Bombus terrestris tRNA-splicing endonuclease subunit Sen34 (LOC100645709)","XM_003395144"
"4874","LOC100645827","XM_012308256.1","PREDICTED: Bombus terrestris 39S ribosomal protein L27","XM_012308256"
"4875","LOC100646058","XM_003395147.2","PREDICTED: Bombus terrestris T-complex protein 1 subunit alpha (LOC100646058)","XM_003395147"
"4876","LOC100645942","XM_003395146.2","PREDICTED: Bombus terrestris double-strand-break repair protein rad21 homolog (LOC100645942) transcript variant X1","XM_003395146"
"4877","LOC100645942","XM_012308257.1","PREDICTED: Bombus terrestris double-strand-break repair protein rad21 homolog (LOC100645942) transcript variant X2","XM_012308257"
"4878","LOC100645942","XM_012308258.1","PREDICTED: Bombus terrestris double-strand-break repair protein rad21 homolog (LOC100645942) transcript variant X3","XM_012308258"
